,precio,ventas,titulo,total_opiniones,etiqueta_opiniones,etiqueta_precio,etiqueta_ventas,moto,samsung,tcl,xiaomi,iphone,lg,sony,nokia,huawei,blackberry,otros
55,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
56,139989,9,"iPhone 8 Plus 64 GB Gris espacial 3 GB RAM,iPhone 8 Plus 64 GB Gris espacial 3 GB RAM",146,2.0,2,2,0,0,0,0,1,0,0,0,0,0,0
57,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
58,139989,1,"iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM,iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
59,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
60,139989,9,"iPhone 8 Plus 64 GB Gris espacial 3 GB RAM,iPhone 8 Plus 64 GB Gris espacial 3 GB RAM",146,2.0,2,2,0,0,0,0,1,0,0,0,0,0,0
61,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
62,139989,1,"iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM,iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
63,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
64,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
65,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
66,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
67,139989,1,"iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM,iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
68,139989,9,"iPhone 8 Plus 64 GB Gris espacial 3 GB RAM,iPhone 8 Plus 64 GB Gris espacial 3 GB RAM",146,2.0,2,2,0,0,0,0,1,0,0,0,0,0,0
69,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
70,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
71,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
72,139989,9,"iPhone 8 Plus 64 GB Gris espacial 3 GB RAM,iPhone 8 Plus 64 GB Gris espacial 3 GB RAM",146,2.0,2,2,0,0,0,0,1,0,0,0,0,0,0
73,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
74,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
75,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
76,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
77,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
78,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
79,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
80,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
81,159989,1,"iPhone XS 64 GB Plata 4 GB RAM,iPhone XS 64 GB Plata 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
82,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
83,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
84,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
85,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
86,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
87,51900,3,"Xiaomi Mi 8 Lite Dual SIM 128 GB Midnight black 6 GB RAM,Xiaomi Mi 8 Lite Dual SIM 128 GB Midnight black 6 GB RAM",776,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0
88,42999,1,"Xiaomi Mi A3 Dual SIM 64 GB Azulón 4 GB RAM,Xiaomi Mi A3 Dual SIM 64 GB Azulón 4 GB RAM",340,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0
89,36890,28,"Samsung Galaxy A20s Dual SIM 32 GB Negro 3 GB RAM,Samsung Galaxy A20s Dual SIM 32 GB Negro 3 GB RAM",6,0.0,0,2,0,1,0,0,0,0,0,0,0,0,0
90,59999,6,"Xiaomi Mi 9 Lite Dual SIM 128 GB Azul aurora 6 GB RAM,Xiaomi Mi 9 Lite Dual SIM 128 GB Azul aurora 6 GB RAM",141,2.0,1,2,0,0,0,1,0,0,0,0,0,0,0
91,11999,3,"Alcatel 1X Dual SIM 16 GB Negro 1 GB RAM,Alcatel 1X Dual SIM 16 GB Negro 1 GB RAM",4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,33999,3,"Xiaomi Redmi 8 Dual SIM 64 GB Negro ónix 4 GB RAM,Xiaomi Redmi 8 Dual SIM 64 GB Negro ónix 4 GB RAM",71,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0
93,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
94,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
